#bin	name	chrom	strand	txStart	txEnd
0	NR_075077	chr1	-	67092175	67134971
0	NM_001276352	chr1	-	67092175	67134971
0	NM_001276351	chr1	-	67092175	67134971
0	NM_000299	chr1	+	201283451	201332993
0	NM_001005337	chr1	+	201283451	201332993
1	NM_012102	chr1	-	8352403	8817640
1	NM_001281956	chr1	-	33513998	34165274
1	NM_001042681	chr1	-	8352403	8817640
1	NM_052896	chr1	-	33513998	34165842
1	NM_001042682	chr1	-	8352403	8423687
1	NR_038261	chr1	-	41847188	42035925
2	NM_152697	chr1	-	75206389	75611114
2	NM_053274	chr1	-	92246397	92299009
2	NM_001130058	chr1	-	75202130	75611114
2	NM_024686	chr1	-	83869373	83999150
2	NM_006699	chr1	+	117367462	117525698
3	NM_003568	chr1	+	150982022	150995638
3	NM_001146191	chr1	+	167721949	167791919
3	NM_003953	chr1	+	167721949	167791919
3	NM_022457	chr1	-	175944825	176207244
3	NM_024569	chr1	+	167721949	167791919
3	NM_030806	chr1	+	184387015	184629021
3	NM_001286644	chr1	-	175944825	176207244
3	NR_126003	chr1	-	192935743	192948257
3	NM_001001740	chr1	-	175944825	176207244
4	NM_005525	chr1	+	209704790	209734950
4	NM_001206741	chr1	+	209686179	209734950
4	NM_006642	chr1	+	243256004	243500091
4	NM_181755	chr1	+	209686179	209734950
9	NM_001242874	chr1	+	2073985	2185395
9	NM_002744	chr1	+	2050469	2185395
9	NM_007274	chr1	-	6264271	6393766
9	NM_001033581	chr1	+	2073646	2185395
9	NM_001305275	chr1	+	1020122	1056119
9	NM_199454	chr1	+	3069177	3438621
9	NM_198576	chr1	+	1020122	1056119
9	NM_015215	chr1	+	6785323	7769706
9	NM_181866	chr1	-	6264271	6358944
9	NM_181865	chr1	-	6264271	6360704
9	NM_181864	chr1	-	6264271	6385823
9	NM_022114	chr1	+	3069177	3438621
10	NM_201628	chr1	+	14598716	15118048
10	NM_004565	chr1	+	10474945	10630761
10	NM_015164	chr1	+	15684331	15734769
10	NM_015209	chr1	+	14598716	15068155
10	NM_020780	chr1	+	11479237	11537583
10	NM_004753	chr1	-	12567909	12617731
11	NM_015013	chr1	+	23019447	23083691
11	NM_003760	chr1	-	20806291	21111383
11	NM_014589	chr1	-	19920306	19923617
11	NM_170726	chr1	-	18871429	18902799
11	NM_001009999	chr1	+	23019447	23083691
11	NM_001198803	chr1	-	20941244	21174758
11	NM_001198802	chr1	-	20806291	21176888
11	NM_001198801	chr1	-	20806291	21176888
11	NM_030812	chr1	+	17755312	17827063
11	NM_001161504	chr1	-	18871429	18890891
11	NM_003748	chr1	-	18871429	18902799
12	NM_001276252	chr1	+	27234515	27308633
12	NM_015023	chr1	+	27234515	27308633
13	NM_017646	chr1	-	39841030	39883511
13	NR_132415	chr1	-	39841030	39883511
13	NR_132401	chr1	-	39841030	39883511
13	NR_132402	chr1	-	39841030	39883511
13	NM_001099439	chr1	-	37715973	37765152
13	NR_132404	chr1	-	39841030	39883511
13	NR_132403	chr1	-	39841030	39883511
13	NM_001312691	chr1	-	39841030	39883511
13	NM_001312692	chr1	-	39841030	39883511
13	NR_132405	chr1	-	39841030	39883511
13	NR_132409	chr1	-	39841030	39883511
13	NR_132413	chr1	-	39841030	39883511
13	NR_132412	chr1	-	39841030	39883511
13	NR_132410	chr1	-	39841030	39883511
13	NR_132408	chr1	-	39841030	39883511
13	NR_132407	chr1	-	39841030	39883511
13	NR_132406	chr1	-	39841030	39883511
13	NR_132414	chr1	-	39841030	39883511
14	NM_032785	chr1	-	48532854	50023954
14	NM_005764	chr1	-	47183588	47190099
14	NM_001135181	chr1	+	48222684	48248644
14	NM_001303427	chr1	-	46040139	46176495
14	NR_125987	chr1	+	46133370	46139080
14	NM_001011547	chr1	+	48222684	48248644
14	NM_020883	chr1	-	45016403	45206578
15	NM_001159969	chr1	-	51354262	51422121
15	NM_001981	chr1	-	51354262	51519323
15	NM_015269	chr1	-	52423275	52553090
15	NM_001009881	chr1	-	52423275	52553090
15	NM_021080	chr1	-	56997905	58250539
16	NM_001083592	chr1	+	63774018	64143369
16	NM_001297440	chr1	+	65792509	66374579
16	NM_176877	chr1	+	61742476	62163919
16	NM_001037341	chr1	+	65792509	66374579
16	NM_001297441	chr1	+	65913244	66374579
16	NR_110628	chr1	-	60659630	60825584
16	NM_005012	chr1	+	63774018	64181496
16	NM_002600	chr1	+	65793172	66374579
16	NM_001037340	chr1	+	65992615	66374579
17	NM_001112808	chr1	+	74198211	74544432
17	NM_024911	chr1	-	68125357	68232601
17	NR_040077	chr1	+	67832287	68202987
17	NM_001193334	chr1	-	68125357	68232546
17	NM_001199327	chr1	+	74198211	74464925
17	NM_001002292	chr1	-	68098458	68232546
17	NM_015978	chr1	+	74235386	74544432
18	NM_001160011	chr1	+	76074703	76577207
18	NM_001297704	chr1	+	81699769	81992738
18	NM_006820	chr1	+	78620381	78646145
18	NM_152996	chr1	+	76074703	76630984
18	NM_001308237	chr1	-	77562415	77683427
18	NM_015534	chr1	-	77562415	77682658
19	NM_153259	chr1	-	84925582	84997122
19	NM_001134492	chr1	+	86914651	87098442
19	NM_152890	chr1	-	85729232	86156438
19	NM_012262	chr1	+	86914651	87109998
20	NR_031666	chr1	-	99516983	99712953
