#bin	name	chrom	strand	txStart	txEnd
0	NM_001195025	chr1	+	134212701	134230065
0	NM_028778	chr1	+	134212701	134230065
1	NM_001290392	chr1	-	8349819	9289958
1	NM_001290390	chr1	-	8349819	9289958
1	NM_027671	chr1	-	8349819	9289958
1	NM_008922	chr1	-	33510652	33726639
1	NM_175642	chr1	-	25124320	25886552
1	NM_001290393	chr1	-	8349819	9289958
1	NM_175370	chr1	-	58714964	58752833
2	NM_178884	chr1	-	75482399	75503027
2	NM_199021	chr1	-	125228714	125942136
2	NM_198680	chr1	-	109050537	109057691
2	NM_001310679	chr1	-	75492912	75503027
3	NM_001113391	chr1	+	167718811	167792243
3	NM_130890	chr1	+	184495137	184562483
3	NM_011465	chr1	+	176102906	176178580
3	NM_031162	chr1	+	167718811	167797567
3	NM_001113393	chr1	+	167718811	167801284
3	NM_001113392	chr1	+	167718811	167801284
3	NR_103716	chr1	+	167718811	167801284
10	NM_001289497	chr1	-	10314799	10710026
10	NM_001160371	chr1	+	11404185	11591902
10	NM_177173	chr1	+	11404185	11965983
10	NM_001160369	chr1	+	11404185	11965983
10	NM_001160370	chr1	+	11404185	11591902
10	NM_145381	chr1	-	13615979	13650590
10	NM_177834	chr1	-	10314799	10710026
10	NM_001310451	chr1	+	11404185	11965983
11	NM_027974	chr1	+	20941706	20980922
12	NM_133235	chr1	+	32229650	32714583
13	NM_001126046	chr1	-	36619540	36740028
13	NM_001081198	chr1	+	40862445	40912112
13	NM_028096	chr1	-	37668520	37776656
13	NM_201365	chr1	-	36656818	36740028
14	NM_009418	chr1	+	43990838	44059845
14	NM_001160386	chr1	+	46123582	46430395
14	NM_001310540	chr1	+	43990838	44059845
15	NM_001114663	chr1	+	55462789	55811129
15	NM_001252070	chr1	-	53453845	53763628
15	NR_045151	chr1	-	51275229	51390623
16	NM_007642	chr1	+	60803231	60830203
16	NM_001081050	chr1	+	61685397	62688858
17	NM_029160	chr1	+	69873543	70771706
17	NM_025728	chr1	+	69998188	70771706
17	NM_175210	chr1	-	71289663	71461484
17	NM_010154	chr1	-	68078760	69154633
18	NM_175291	chr1	-	80497642	80755128
18	NM_001310713	chr1	+	82836034	82897576
18	NM_010472	chr1	+	82836034	82897576
19	NM_030184	chr1	+	88051354	88174859
19	NM_023314	chr1	+	89110488	89137063
19	NM_027456	chr1	+	88051354	88149066
19	NM_001310702	chr1	+	88051354	88174859
20	NM_145519	chr1	+	95408680	95518553
20	NM_173760	chr1	-	99602619	99666669
20	NM_009183	chr1	-	97484258	97564171
20	NM_011066	chr1	-	93312558	93355905
21	NM_172851	chr1	+	101669341	102382519
23	NM_019933	chr1	-	121554669	121733648
24	NM_001081756	chr1	-	127810212	128727209
24	NM_181750	chr1	+	129999882	130134312
24	NM_172484	chr1	-	127810212	128389504
24	NM_019777	chr1	-	133151178	133176140
24	NM_176957	chr1	-	127810212	128727209
25	NM_001306069	chr1	+	136312240	136329927
25	NM_021605	chr1	-	140380413	140516334
25	NM_175443	chr1	+	135260148	135276895
25	NM_001287179	chr1	+	138364424	138427396
25	NM_028320	chr1	+	136311954	136329927
25	NM_173437	chr1	-	137331156	137481932
25	NM_001311148	chr1	-	140380413	140516334
28	NM_022312	chr1	+	161453899	161855053
28	NM_013862	chr1	-	162186702	162723069
28	NM_001081290	chr1	-	164601915	164670687
28	NM_007495	chr1	+	160292434	160621917
28	NM_001205204	chr1	+	160292434	160621917
29	NM_023041	chr1	+	174056885	174066628
29	NM_022563	chr1	-	171902437	172019075
29	NM_001159525	chr1	+	174056885	174066628
30	NM_011880	chr1	-	176989206	177422676
30	NM_027188	chr1	-	180885169	181448134
30	NM_001199003	chr1	-	176989206	177422676
30	NM_026626	chr1	+	180336011	180413380
31	NM_001243792	chr1	+	189432884	190038763
31	NM_133684	chr1	-	186636946	186669726
76	NM_001011874	chr1	-	3204562	3661579
77	NM_001195662	chr1	-	4280926	4399322
77	NM_001159750	chr1	+	4847774	4887990
77	NM_001177795	chr1	-	4899656	5060366
77	NM_011541	chr1	+	4847774	4887990
77	NM_133826	chr1	+	5073166	5152630
77	NM_001290372	chr1	-	4899656	5008815
77	NM_001159751	chr1	+	4848408	4887990
77	NM_021374	chr1	-	4899656	5009620
77	NM_001310442	chr1	+	5073166	5152630
79	NM_001244692	chr1	+	6477311	6851021
79	NR_045189	chr1	+	6720131	6851021
79	NR_045188	chr1	+	6720131	6851021
79	NM_001244693	chr1	+	6477311	6851021
79	NM_173868	chr1	+	6720131	6851021
82	NM_145692	chr1	-	9958702	9999217
82	NM_026493	chr1	+	10028298	10126849
82	NM_177547	chr1	+	9788210	9892649
82	NR_110971	chr1	-	9958702	9999217
82	NR_015470	chr1	-	9550913	9621173
82	NM_133220	chr1	+	9788210	9892649
83	NM_029525	chr1	+	10983545	11293763
83	NM_001033636	chr1	+	11254043	11293763
85	NM_172841	chr1	-	12856630	12981216
